id tweet	date	author	text	app	id user	followers	following	tweets	location	urls	name	description	relation	user retweeted
1582750776447078401	2022-10-19 15:09:25	clinicamajadaho	¿Conoces el estado de tú boca? https://t.co/3hc1scbhz5 #dentalarroque #clinicadentalmajadahonda #dentistas #dentistamajadahonda #clinicadental #majadahonda #odontologo #revisiondental #dentista #higienebucal #felizmiercoles https://t.co/ndC9faYKlR	Twitter Web App	1903313228	577	1102	2930	Majadahonda, España	['http://www.clinicadentalboadillamajadahonda.com']	Clínica Dental Dra. Herrero	Clínica dental Dra. Herrero - Dentalarroque - clínica dental ubicada en Avenida España 26, Majadahonda. #majadahonda #dentista #clinicadental #odontología	tweet	
1582750782721359872	2022-10-19 15:09:27	Antimilitantes7	En el “gobierno del cambio” los que viven sabroso son los residentes de las casas presidencial y vicepresidencial. Los nadies que votaron por ellos seguirán comiendo 💩. #UnIndultoPara  #CuidemosA  #AlCambioLeCumplimosCon #FelizMiércoles https://t.co/Cste2FC9Na	Twitter for iPhone	1533160408470720514	251	443	250			Antimilitantes	Una mirada a los hechos que marcaron la historia del conflicto armado en Colombia 🇨🇴  Cuenta anterior Suspendida.	tweet	
1582750787720998913	2022-10-19 15:09:28	PaletaChico	#FelizMiercoles https://t.co/BpHXwmXMc4	Twitter for Android	69091297	364	1311	14920	Collipulli, Chile		Heberth Diaz Lagos	Necesito tus Manos, Te extraño!                                   Del aire soy, como todo mortal, del gran vuelo terrible y estoy aquí de paso a las estrellas	tweet	
1582750790879367168	2022-10-19 15:09:29	andyal10584157	RT @afajardososa: Si el bloqueo es el argumento del Gobierno de Cuba Porqué el Gobierno de EEUU no lo quita y se acaba el argumento? #Mejor…	Twitter for Android	1544056749371658246	2098	3810	11223			@andyal		retweeted	afajardososa
1582750827143663616	2022-10-19 15:09:37	GarrePagan	RT @alpisancayetano: Hoy es el #DiaMundialdelCancerdeMama, y queremos mandar toda nuestra fuerza a todas las luchadoras que pelean día a dí…	Twitter for Android	916296068903653376	6	48	592	Torre-Pacheco, España		Soledad Garre Pagan		retweeted	alpisancayetano
1582750828943007744	2022-10-19 15:09:38	camiaangel	RT @carolacaracola5: 👉 ¡Recuerda! Hoy, como todos los MIÉRCOLES a las 21.00 HORAS, Red República, @RedRepublic_ lanzará un hashtag para rec…	Twitter Web App	311596731	951	2132	173171			miguel angel camiña		retweeted	carolacaracola5
1582750843081981952	2022-10-19 15:09:41	claroydirectomx	🥶 A sacar la cobija del tigre. Se espera un día frió y lluvioso  ➡️ https://t.co/c00Gbvmsk8… #Mexico #Clima #FelizMiércoles #Lluvias	Twitter for iPhone	313300274	2945	943	47818	Distrito Federal, México	['http://www.claroydirectomx.com']	ClaroyDirectomx	#ClaroyDirectomx es una multiplataforma informativa con presencia en Internet, redes sociales, radio y televisión en México	tweet	
1582750853479354368	2022-10-19 15:09:44	aoifearias	@Brujaycotilla @luismerlo_actor #BuenasTardes 🌄mi BrujaLinda 🧚‍♀️🫶 vamos a mitad d semana ya disfruta #FelizMiércoles ☮️💟♾️🌈🌌🦄💜✨🧚‍♀️🏵️🧜‍♀️🍄🧸🛼🎡🍻🎶💋💋💋💋💋🐙🌊🏄🏽‍♀️🏂🖖🫶🤙🏼 https://t.co/jVRuYMh1Ur	Twitter for Android	1038068671120330754	1047	214	59828			Aoifearias		replied_to	MiercolesRepubl
1582750868801478656	2022-10-19 15:09:47	jagoba13	RT @MiercolesRepubl: Wyoming: “El 20 de noviembre de 1975 se murió Franco y con él no se murieron 40 millones franquistas, no es verdad, aq…	Twitter for Android	508855147	316	637	14610	Bilbao		jagoba	Athletic club Bilbao . Matzherritarra.Odio el fanatismo y a los fascistas . Athletizale. Athletic is different,🔴⚪.Republicano.💜💜	retweeted	MiercolesRepubl
1582750899335667712	2022-10-19 15:09:55	__Chica__72	Buenos días #FelizMiercoles tenemos una cita en YouTube con @mhonividente y @brenn_mz para el #PreguntaleaMhoni @ClubMhoniFan no faltes!!!!! #MhonienHeraldo #PreguntaleaMhoni @heraldodemexico https://t.co/LdCSvr09Da	Twitter for iPhone	878715528516222976	743	604	90997			~Chika~	Doy la vida por mi familia. soy fan de @mhonividente Agosto 13, 2014 (8:51 am) 🌞#MhoniFans ser original es brillar con tu propia luz. ☀️	tweet	
1582750906277167107	2022-10-19 15:09:56	Minina20243246	RT @MiercolesRepubl: Se apartan periodistas que denuncian la corrupción de la monarquía y se es complaciente con los que ocultaron o justif…	Twitter for Android	1154847925983469568	188	219	7056			Minina	Nací después de los dolores , y aquí estoy 😎😲	retweeted	MiercolesRepubl
1582750940549246977	2022-10-19 15:10:04	GtoCapitalTur	RT @viajaencortomex: #FelizMiercoles 🌞 Ya es mitad de semana y yo solo quiero ir a #Guanajuato a comer un pan de muerto 🤤🌼 #DiaDeMuertos ht…	Twitter for iPhone	1245941113615085568	2963	776	1536	Guanajuato, México		Guanajuato Capital Turismo	Consejo de Promoción Turística de Guanajuato Capital	retweeted	viajaencortomex
1582750941094506501	2022-10-19 15:10:05	AriadnaGalvan16	#BuenosDias   #FelizMiercoles que tengan un buen día 🙂 https://t.co/T7jNFak0cg	Twitter for Android	1493579363018805249	65	197	170			Ariadna Galvan	Los sueños si se acen realidad	quoted	
1582750953023102977	2022-10-19 15:10:07	Pintocuadrosa10	RT @Antimilitantes7: En el “gobierno del cambio” los que viven sabroso son los residentes de las casas presidencial y vicepresidencial. Los…	Twitter for Android	446285139	719	1179	29360			Fear		retweeted	Antimilitantes7
1582750951047254017	2022-10-19 15:10:07	FerVilchisMx	#Madrugadores | Sin importar el día, nuestros uniformados de la👮‍♀️ @DSPyTEcatepec están siempre listos 🫡 para defender la integridad y patrimonio de las familias de este gran municipio. Esta madrugada de #FelizMiércoles, presentaron su ya tradicional parte de novedades. https://t.co/bNZOteG8b0	Twitter for Android	957373186986926080	19488	301	8311	Ecatepec de Morelos, México	['http://www.ecatepec.gob.mx']	Fernando Vilchis	Presidente municipal de #Ecatepec de Morelos 2022-2024. #MunicipioConValoresQueSeLevanta	tweet	
1582750959624548352	2022-10-19 15:10:09	AyalaD_Claudia	RT @EduardoFloMa1: Buen día, hoy es el #DiaMundialDelCancerDeMama y es un importante conocer algunos mitos y realidades sobre esta enfermed…	Twitter Web App	1235360325492490240	172	191	503			claudia Diaz Ayala		retweeted	EduardoFloMa1
1582750973956530176	2022-10-19 15:10:12	lupitacriollo	Buenos días linduras 😘😘  #felizmiercoles ❣️ https://t.co/xdplZi4CIZ	Instagram	133407266	420	1039	17028	Megico Máxico 	['https://www.facebook.com/LupitaCriolloE']	LupisTrikisLove 	La vida es cool, y yo junto con ella ♡	tweet	
1582750977110994944	2022-10-19 15:10:13	Jdingenieros	RT @arteviajero_com: El Rapto de las Sabinas, escultura realizada en un solo bloque de mármol blanco por Giambologna en el año 1579. Esta o…	Twitter for Android	2444714297	25	182	2464			J.David		retweeted	arteviajero_com
1582750995784019972	2022-10-19 15:10:18	dentalarroque	¿Conoces el estado de tú boca?  #dentalarroque #clinicadentalmajadahonda #dentistas #dentistamajadahonda #clinicadental #majadahonda #odontologo #revisiondental #dentista #higienebucal #felizmiercoles https://t.co/tHH4a6iSsN	LinkedIn	289980638	3195	3657	7298	Madrid, Comunidad de Madrid	['http://www.clinicadentalboadillamajadahonda.com']	Sebastian Fitje	#clinicadental #boadilladelmonte #dentista #salud #majadahonda #ortodoncia #implantedental #periodoncia #odontologia	tweet	
1582750996052078592	2022-10-19 15:10:18	MariIsaMendo	RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM	Twitter for Android	1495437924774649863	108	134	334	Naucalpan de Juárez, México		Isabel Mendoza	♡	retweeted	Motivos14185270
1582751003371184131	2022-10-19 15:10:19	arandiaernaldo1	RT @hablamegerardo: #FelizMiércoles Esta es la portada de hoy #19Oct de @CiudadTRU  ¡La noticia en tus manos! #PuebloUnidoYActivo https://t…	Twitter for Android	1577438322452041729	25	21	4155	Venezuela		Ernaldo Arandia	Cariñosa, divertida, sentimental	retweeted	hablamegerardo
1582751015601786880	2022-10-19 15:10:22	ClubMhoniFan	RT @__Chica__72: Buenos días #FelizMiercoles tenemos una cita en YouTube con @mhonividente y @brenn_mz para el #PreguntaleaMhoni @ClubMhoni…	Twitter for iPhone	1227305428570165249	4044	89	73922	WORLDWIDE	['https://www.youtube.com/user/CanalMhonividente']	ClubOficialMhoni 🥰	Twitter @mhonividente Blog https://t.co/nogpQVp75L Facebook https://t.co/j2RgysjJ9V #MhoniFans	retweeted	__Chica__72
1582751046933565443	2022-10-19 15:10:30	IsabelTeresaSu4	"RT @DIARIOVEAHOY: #19Oct ""Ya el servicio eléctrico está recuperado en un 80%. Todavía no hemos podido conectar el servicio de agua porque e…"	Twitter for Android	1224625887993376769	1248	1227	65797	Venezuela		🎄💫 @IsabelTeresaSu4 💫	Chavez Vive ... La Lucha Sigue	retweeted	DIARIOVEAHOY
1582751050452193280	2022-10-19 15:10:31	NiNiMoonMoon	Miauuuuu 🔥😏 No olviden seguirme en Arsmate! https://t.co/ACRy0J2WXj #FelizMiercoles #arsmate https://t.co/a6GMMeO3kd	Twitter for Android	1554898958262099970	89	105	45		['https://arsmate.com/u334024']	Moon	Costurera y amantes de las plantas 🌵. Me encanta comer, el fútbol y la cerveza 🍺. Sígueme! https://t.co/j7oNdUTCe2	tweet	
1582751060057198592	2022-10-19 15:10:33	loquera54	RT @FMagatinto: #PuebloUnidoYActivo #19Oct #VenezuelaEnDesobediencia #FelizMiércoles La Realidad en Venezuela supera la Ficción y las Cosas…	Twitter Web App	1537628525196464131	50	61	3540			Cruz Perez	Yo soy un MACHO	retweeted	FMagatinto
1582751085726294017	2022-10-19 15:10:39	Claudia_delaC	RT @EduardoFloMa1: Buen día, hoy es el #DiaMundialDelCancerDeMama y es un importante conocer algunos mitos y realidades sobre esta enfermed…	Twitter Web App	981600200434356224	395	367	6554	Huixquilucan, México		Claudia cc		retweeted	EduardoFloMa1
1582751089958342657	2022-10-19 15:10:40	LourdesArevaloR	#FelizMiercoles Disfruten cada momento!!! 😊😀🙂  #BuenDia #BuenosDias #BuenMiercoles #BuenMiercolesATodos #BuenDiaATodos #FelizDia #FelizDiaATodos #FelizMiercolesATodos  #DiosNosBendice https://t.co/KbTnRd9PH3	Twitter for iPhone	77234417	3850	3773	31815	Morelia Michoacan Mexico		Lourdes Arevalo R	Me gusta ver el lado positivo de las cosas!!! Odio la hipocrecia la mentira y la gente falsa!!! Le voy al Morelia!!! Me gusta leer!!! Amo a mi perro Lucas!!! 💝	tweet	
1582751106266189825	2022-10-19 15:10:44	JUSET92163531	RT @RicardoCotta: Muuuuuy buenos días familia #FelizMiércoles https://t.co/T7kUTF17u2	Twitter for Android	1251537271968407552	627	464	17276			JUSET❤️	Soy un hombre serio respetuoso agradable y muy divertido	retweeted	RicardoCotta
1582751155511504897	2022-10-19 15:10:56	Dante28218584	RT @Granaderosarg: ¡Buen miércoles para todos!  🇦🇷 🐴#BuenMiércoles #FelizMiércoles    #HerederosDelLibertador #UnRegimientoConHistoria #Som…	Twitter for Android	1207462173246676992	78	174	2447	Bahía Blanca, Argentina		Dante		retweeted	Granaderosarg
1582751161634938882	2022-10-19 15:10:57	elhoroscopodel1	#Tauro ♉ quizás te hayas quedado enganchado a los problemas externos, sin embargo piensa en que la felicidad no reside en lo que tengas, sino en lo que sientas.  😎 #Horóscopodelasemana #SignosdelZodíaco #Consejos #FelizMiércoles.  en 👀👇👇 https://t.co/swPqVWDsuW https://t.co/7anfWj2Pja	El Horóscopo del Zodíaco	1332068017551896576	656	187	35685	Barcelona	['https://elhoroscopodelzodiaco.com/']	elhoroscopodelzodiaco	Web y App de El Horóscopo del Zodíaco. Con inéditas curiosidades y predicciones. Descarga gratis la App 👉 https://t.co/qGK78YmSZB, consulta 👀 https://t.co/dWUNaaqHM7	tweet	
1582751177841659905	2022-10-19 15:11:01	javaladezm	RT @arteviajero_com: El Rapto de las Sabinas, escultura realizada en un solo bloque de mármol blanco por Giambologna en el año 1579. Esta o…	Twitter for Android	213316111	170	234	24165	Mérida, Yucatán		Adalberto Valadez		retweeted	arteviajero_com
1582751184494170121	2022-10-19 15:11:03	Soto1796	RT @SoyYuditha: 𝘿𝙚𝙨𝙘𝙖𝙧𝙜𝙖 𝙡𝙖 𝙖𝙥𝙡𝙞𝙘𝙖𝙘𝙞ó𝙣 #vePOS y comienza su configuración desde la plataforma Patria para la sincronización de las billeter…	Twitter for Android	1566945880120463361	274	292	3748			Irana soto	Lic. en Educación. Comunicadora. Sígueme y te sigo. Amando hasta el infinito a mi amor eterno,	retweeted	SoyYuditha
1582751193042145280	2022-10-19 15:11:05	ursulaursula202	RT @DIARIOVEAHOY: #19Oct Desde el momento en que hicimos la convocatoria se desbordó la grilla que habíamos preparado, y entonces se ha mul…	Twitter for Android	1531634197974200322	155	82	18633			ursula rodriguez	100% chavista	retweeted	DIARIOVEAHOY
1582751193461567490	2022-10-19 15:11:05	Aerislink	RT @TamaraS98607236: #ALaAdministracionPorOposicion #LaPlazaNoSeRegala #IgualdadMeritoCapacidad  #FelizMiercoles Si quieres funcionarios co…	Twitter Web App	1495168276246188048	6	120	257			Aeris	Humor y curiosidad infinita	retweeted	TamaraS98607236
1582751210687188992	2022-10-19 15:11:09	DQuiropractico	RT @yosoysexmex: #Estreno de hoy #Miercoles en #SEXMEX con: @HaideUnique y @lucyandominus   a Haidé le encanta que su amo Lucyan se la llev…	Twitter for Android	1487304392940429316	319	868	45985	Distrito Federal, México		Donatelo Quiropráctico.	“Una mente sana en un cuerpo sano, es una descripción corta pero completa de un estado feliz en este mundo.”	retweeted	yosoysexmex
1582751214361796608	2022-10-19 15:11:10	Eloy17528	RT @INAMEH: #19oct #INAMEHInforma Seguimiento de Ondas Tropicales #Reporte de las 05:15 HLV #FelizMiércoles https://t.co/JuD12sjlab	Twitter for Android	1570152775547232257	6	54	451			Eloy		retweeted	INAMEH
1582751230572761088	2022-10-19 15:11:14	Guarico500	RT @hablamegerardo: #FelizMiércoles Esta es la portada de hoy #19Oct de @CiudadTRU  ¡La noticia en tus manos! #PuebloUnidoYActivo https://t…	Twitter for Android	1557800476753727489	181	19	38641			@Guarico500		retweeted	hablamegerardo
1582751231541641216	2022-10-19 15:11:14	JoseLuis0439471	"#FelizMiercoles Esconder la realidad detrás de una moraleja ( ""el parto de los montes"" fábulas de Esopo) y no dedicar ni cinco minutos al día internacional del cáncer de mama, sólo a un imbécil se le puede ocurrir. #LopezReyDelCash #LopezBasuraPresidencial https://t.co/mRPKLkmFpm"	Twitter for Android	1040434088350441472	4987	5419	68223	Metepec, México		@JoseLuis #𝔏𝔦𝔤𝔞𝔇𝔢𝔊𝔲𝔢𝔯𝔯𝔢𝔯𝔬𝔰	Orgullo por Mexico 🇲🇽 la oposición la hacemos todos #OposicionUnida  #LigaDeGerreros #SomosMéxico	tweet	
1582751234108272642	2022-10-19 15:11:14	mrchllt	RT @YulianaEscobedo: #FelizMiercoles que sea un gran día! https://t.co/xYveaTQ4NV	Twitter for Android	1559711535399931904	76	321	782			El Sr Charles	Un hombre simple Al que twiter confunde con un bot :v	retweeted	YulianaEscobedo
1582751234465091586	2022-10-19 15:11:15	SeleneA25422911	RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM	Twitter for Android	1544821019453579266	9	17	239			Selene Alonso		retweeted	Motivos14185270
1582751243960668161	2022-10-19 15:11:17	Mexxxikn0	RT @VaniTodoenElla: Y con esto cerramos este hilo de #19octubre en #DeTodoComoEnBotica de @VaniTodoenElla   Los leo mañana! #FelizMiercoles…	Twitter for Android	2577674078	32493	7801	264220			Μ€ЖЖЖ #SØSM€Ж	Estoy en una edad q si no tienes la razón, te la doy tú te engrandeces y alardeas. Yo me rio y pienso q eres un p€nd€jo y todos Felices	retweeted	VaniTodoenElla
1582751249983672320	2022-10-19 15:11:18	GraaLpez	RT @CarlosJ65007537: Que pq soy de @vox_es ?  Pq representan al 100% mis ideales y mis convicciones, sin engaños y diciendo lo mismo en tod…	Twitter for iPhone	1893668203	9796	9847	157041	Asturias España		Jesús Graña López🟥🟨🟨🟥	Camionero jubilado. provida excepto para los traidores a españa afiliado a Vox y coordinador de zona viva Cristo Rey y Arriba España 🇪🇸🇪🇸	retweeted	CarlosJ65007537
1582751267281326081	2022-10-19 15:11:22	bahaismexicali	.  Nueva lona de 10 metros x 2 metros recien aprobada por la Asamblea Espiritual de los Bahá'ís de Mexicali para reemplazar el actual.  Será colocada en la Justo Sierra, calle muy transitada de Mexicali, cerca a la cruce.   @BahaiBIC #Bahai #Mexicali #UABC #FelizMiercoles   . https://t.co/47KvBUJoJR	Twitter Web App	3213819332	330	427	7784	Mexicali, Baja California, Méx	['http://www.bahaismexicali.org']	Depto d Asuntos Externos de la Asamblea d Mexicali	Cuenta oficial de Twitter de la Comunidad Bahá'í de Mexicali, Baja California, México	tweet	
1582751278824058880	2022-10-19 15:11:25	Carmegonzalezg1	RT @DesurM_22: #19Oct #INAMEHInforma Pronóstico de Oleaje #FelizMiércoles https://t.co/GjF76L09Ia	Twitter for Android	1525630024497389568	699	281	73154			Carmegonzalez@gmail.con	Lucy	retweeted	DesurM_22
1582751291251765250	2022-10-19 15:11:28	Clebguarico	RT @INAMEH: #19oct #INAMEHInforma Condiciones Meteorológicas para las próximas 24 horas #FelizMiércoles. https://t.co/BnqmWyOeF3	Twitter Web App	1407808718	8398	495	20504	San Juan de los Morros	['http://www.clebguarico.gob.ve']	CLEBG	Consejo Legislativo del estado Bolivariano de Guárico. Presidenta: Leg. Dayana Encinozo Vicepresidente: Mayker Álvarez. Instagram: @clebguarico	retweeted	INAMEH
1582751292170342402	2022-10-19 15:11:28	elquepeca	"RT @reynamadelayne: ""Sin rencores, pero con memoria."" #FelizMiércoles https://t.co/Kny8YtqgTQ"	Twitter for Android	1358577290	2036	4614	10914	Costa Rica	['https://linktr.ee/enlace99']	Ernesto Arias	Siempre aprendiendo para mejorar...	retweeted	reynamadelayne
1582751315574554626	2022-10-19 15:11:34	MriamRamrez11	RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM	Twitter for Android	1564394768049790976	67	130	147			Míriam Ramírez		retweeted	Motivos14185270
1582751322075729920	2022-10-19 15:11:35	Carmen56621707	"RT @MiercolesRepubl: 🎙 Javier Aroca @JavierArocaA: ""Los medios de comunicación no están ayudando a construir una democracia sana sino que e…"	Twitter for Android	1162048568745705472	56	121	20738			Carmen		retweeted	MiercolesRepubl
1582751344792047617	2022-10-19 15:11:41	MaElenaRR23	RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM	Twitter for Android	1582481000830885888	34	69	5			MaElena		retweeted	Motivos14185270
1582751351989469184	2022-10-19 15:11:43	velajimenez69	RT @MiercolesRepub5: Recuerda que esta tarde, como todos los miércoles a partir de las 19.00 h (18.00 h en Canarias), tuiteamos por la III…	Twitter for Android	3329908546	4350	5000	194838			JICKY	Humano, sin más 👍💜👍🔻. A los fachas ni agua 🟣🟣🟣🟣🟣🟣.	retweeted	MiercolesRepub5
1582751363624488960	2022-10-19 15:11:45	PodemPatraix	"RT @MiercolesRepubl: 🎙 Javier Aroca @JavierArocaA: ""Los medios de comunicación no están ayudando a construir una democracia sana sino que e…"	Twitter for Android	2571440996	1200	1164	4063			Podem Patraix	Mientras haya derechos por conquistar o defender, en Podem Patraix estaremos luchando para conseguir una sociedad más justa.  Twitter oficial de Podem Patraix.	retweeted	MiercolesRepubl
1582751365490569221	2022-10-19 15:11:46	j82442475	RT @GabySuccubusLat: Buenos días criaturas de Satanás!!!! Jajajajajajaja   #FelizMiercoles 😘😘😘😘 https://t.co/0ozyIdj4OW	Twitter for Android	1499139594733850625	227	1129	28989			Manuel Juárez		retweeted	GabySuccubusLat
1582751378128064512	2022-10-19 15:11:49	interdiario	MUERE MUJER AHOGADA AL INTENTAR CRUZAR EN TEMIXCO  #FelizMiercoles #MitadDeSemana #DiaMundialDelCancerDeMama #Temixco #Noticias #UltimaHora #Morelos #ElEpicentroDeLaNoticia https://t.co/ItPGDVQYDS	WordPress.com	136330350	877	167	38373	Zona Oriente de Morelos	['http://www.interdiario.com.mx']	Interdiario	Interdiario de Cuautla, Agencia informativa del estado de Morelos, comprometidos con la información	tweet	
1582751388941312001	2022-10-19 15:11:51	trabajodecente	RT @Sintracarcol: Los sindicatos defienden la dignidad de la clase obrera, consiguen y resguardan las garantías y derechos laborales, const…	Twitter for Android	73567053	27406	16529	39041	Colombia	['http://www.ens.org.co']	Trabajo Decente	Iniciativa ciudadana para proponer mejores condiciones laborales  Colombia. @ENSColombia  Más info:https://t.co/axihaUQeF0	retweeted	Sintracarcol
